given_name,count,gender
Lotti,945,f
Olivia,940,f
Eleonora,940,f
Betti,931,f
Ekaterina,920,f
Anne-Kathrin,919,f
Nada,916,f
Angelina,915,f
Madlen,913,f
Rotraud,910,f
Mariola,902,f
Gretchen,899,f
Gerlind,897,f
Gloria,893,f
Stella,889,f
Jelena,888,f
Louise,875,f
Greta,875,f
Magarete,873,f
Fatima,872,f
Catharina,871,f
Tatiana,868,f
Irmela,866,f
Dorothe,866,f
Gina,865,f
Insa,857,f
Aline,857,f
Elzbieta,854,f
Lea,851,f
Romana,849,f
Gisa,849,f
Senta,848,f
Dolores,847,f
Marieluise,846,f
Luisa,840,f
Betina,839,f
Kreszenz,834,f
Dorle,827,f
Josephine,823,f
Desiree,822,f
Annedore,820,f
Olav,815,f
Mia,813,f
Inken,807,f
Mechthilde,805,f
Cilli,801,f
Violetta,800,f
Nadia,797,f
Janette,797,f
Iwona,797,f
Eleni,789,f
Dorota,789,f
Gundi,787,f
Henni,785,f
Annelise,785,f
Belinda,784,f
Mirjana,783,f
Siegrun,781,f
Georgia,781,f
Kläre,779,f
Elisa,778,f
Hildegund,777,f
Rose-Marie,772,f
Vesna,766,f
Adriana,763,f
Milena,758,f
Jane,754,f
Friedl,753,f
Rena,750,f
Norma,750,f
Anne-Katrin,750,f
Hannah,745,f
Waldtraut,742,f
Elfie,741,f
Tabea,734,f
Aurelia,729,f
Alena,728,f
Margita,726,f
Delia,726,f
Jeannine,722,f
Asta,722,f
Irmengard,720,f
Anneli,719,f
Karolin,718,f
Hülya,718,f
Valeria,713,f
Heidelinde,710,f
Ilonka,708,f
Dragica,707,f
Wilfriede,706,f
Gordana,701,f
Felizitas,700,f
Agnieszka,697,f
Cilly,695,f
Swantje,694,f
Urte,693,f
Hubertine,692,f
Adelgunde,686,f
Freya,683,f
Irmi,680,f
Marianna,679,f
Zeynep,675,f
Cristina,674,f
Bertha,674,f
Carmine,668,f
Yvette,667,f
Sevim,664,f
Zenta,663,f
Lilian,660,f
Magret,659,f
Mirja,657,f
Cora,648,f
Yasmin,647,f
Jadwiga,647,f
Rotraut,646,f
Clarissa,643,f
Raphaela,640,f
Liesa,638,f
Birthe,635,f
Eileen,631,f
Wibke,629,f
Georgine,625,f
Leyla,622,f
Justine,620,f
Cathleen,620,f
Katarzyna,617,f
Lilija,614,f
Sonia,611,f
Franka,608,f
Aynur,607,f
Margaret,605,f
Yasemin,603,f
Ingetraud,602,f
Philomena,601,f
Aleksandra,600,f
Lili,596,f
Liliane,593,f
Gilda,588,f
Carmela,585,f
Filiz,584,f
Britt,583,f
Gudula,582,f
Priska,580,f
Raisa,578,f
Albertine,578,f
Janett,577,f
Michaele,575,f
Hedy,574,f
Marie-Theres,565,f
Camilla,564,f
Kreszentia,563,f
Claire,563,f
Krista,557,f
Kunigunda,556,f
Carolina,554,f
Annelene,554,f
Olena,553,f
Ljubica,552,f
Gretl,549,f
Aysel,549,f
Xenia,548,f
Blanka,547,f
Janna,546,f
Hiltraud,546,f
Suse,544,f
Apollonia,541,f
Benita,539,f
Virginia,537,f
Katherina,537,f
Gislinde,537,f
Monja,536,f
Slavica,532,f
Carin,532,f
Elizabeth,531,f
Mariana,529,f
Brit,529,f
Katy,527,f
Elif,527,f
Hildegunde,524,f
Meryem,523,f
Danica,522,f
Klothilde,520,f
Roselinde,517,f
Irmtrud,517,f
Notburga,516,f
Freia,515,f
Flora,515,f
Rabea,514,f
Hildegart,513,f
Jasmina,512,f
Alicja,511,f
Deborah,508,f
Nadin,507,f
Alwina,506,f
Chantal,505,f
Mariele,503,f
Hildburg,503,f
Mareen,501,f
Stefani,500,f
Reingard,500,f
Amelie,499,f
Maria-Theresia,498,f
Gertraut,497,f
Caren,497,f
Sylvie,495,f
Veronica,492,f
Maya,492,f
Harriet,492,f
Dajana,492,f
Francesca,491,f
Jo,490,f
Eva-Marie,489,f
Lidwina,485,f
Kira,484,f
Marisa,483,f
Hulda,483,f
Erdmute,483,f
Cecilia,480,f
Anica,480,f
Gusti,478,f
Gundel,478,f
Lia,477,f
Leopoldine,477,f
Rosl,476,f
Giovanna,474,f
Ljiljana,472,f
Ivanka,472,f
Raissa,470,f
Birgid,469,f
Melita,468,f
Friedhilde,468,f
Kriemhild,467,f
Ellinor,464,f
Marzena,463,f
Lisette,463,f
Friedlinde,463,f
Suzanne,460,f
Leokadia,460,f
Tania,456,f
Theda,455,f
Genoveva,455,f
Ayten,455,f
Annie,455,f
Sinaida,453,f
Marica,451,f
Stefania,450,f
Agatha,450,f
Rosa-Maria,449,f
Francoise,447,f
Hanne-Lore,446,f
Frederike,445,f
Adelinde,445,f
Valeska,442,f
Babett,442,f
Marie-Louise,440,f
Zdenka,438,f
Justina,438,f
Katalin,434,f
Marcella,433,f
Dorina,433,f
Caterina,433,f
Katharine,432,f
Heide-Marie,432,f
Angelique,432,f
Waltrud,431,f
Milka,431,f
Cosima,431,f
Ljudmila,430,f
Ann,430,f
Liliana,429,f
Constance,429,f
Danielle,428,f
Paola,427,f
Ortrun,426,f
Nermin,426,f
Gesche,426,f
Sibylla,424,f
Ivana,424,f
Hannchen,424,f
Wenke,423,f
Tilly,423,f
Jolanthe,421,f
Annaliese,421,f
Meral,420,f
Theres,419,f
Erica,417,f
Cläre,417,f
Silja,415,f
Gülay,415,f
Sibilla,413,f
Gabriella,413,f
Adina,413,f
Marjan,412,f
Ludwina,409,f
Jessika,409,f
Natali,408,f
Antoinette,406,f
Zofia,405,f
Franca,404,f
Corinne,403,f
Trudel,402,f
Ingetraut,401,f
Natalija,396,f
Lene,396,f
Hanny,396,f
Annekatrin,396,f
Kata,395,f
Arzu,395,f
Giuseppina,394,f
Irmingard,393,f
Adriane,392,f
Wencke,391,f
Adolfine,388,f
Nuray,387,f
Nadeschda,387,f
Melissa,387,f
Ester,387,f
Adeline,387,f
Stilla,386,f
Lissy,386,f
Oda,383,f
Branka,383,f
Damaris,380,f
Serpil,378,f
Leila,377,f
Nadeshda,376,f
Martine,376,f
Ehrentraud,376,f
Christa-Maria,376,f
Antonina,375,f
Bruni,373,f
Mirella,371,f
Songül,370,f
Luka,370,f
Milica,369,f
Geraldine,365,f
Tülay,364,f
Lara,364,f
Hilma,363,f
Evamaria,362,f
Marit,361,f
Edit,360,f
Cynthia,360,f
Susana,359,f
Gülsen,359,f
Semra,358,f
Concetta,356,f
Trudi,355,f
Sylvana,355,f
Anna-Luise,355,f
Agata,355,f
Gitte,354,f
Pascale,353,f
Lissi,353,f
Korinna,353,f
Alida,353,f
Zehra,350,f
Imelda,350,f
Sylwia,348,f
Donata,347,f
Florentine,346,f
Fabienne,346,f
Siegried,345,f
Hanife,345,f
Herlinde,344,f
Viviane,342,f
Mareile,342,f
Kathy,342,f
Joana,342,f
Florence,342,f
Jolanda,341,f
Ann-Kathrin,341,f
Antonietta,339,f
Annegrete,339,f
Aneta,338,f
Nurten,337,f
Anneke,336,f
Türkan,335,f
Elisabet,335,f
Daria,335,f
Veronique,334,f
Mercedes,333,f
Geza,332,f
Fadime,332,f
Albina,332,f
Miroslawa,331,f
Janin,331,f
Elma,331,f
Urszula,330,f
Polina,330,f
Katerina,330,f
Anna-Lena,326,f
Marie-Therese,324,f
Käthi,322,f
Ildiko,322,f
Telse,320,f
Ruthild,320,f
Nuran,319,f
Gönül,319,f
Angelica,319,f
Elwira,317,f
Elenore,316,f
Samira,315,f
Magrit,315,f
Lieschen,314,f
Ingried,314,f
Felicia,314,f
Friedericke,313,f
Annamaria,313,f
Silva,312,f
Augusta,312,f
Nevenka,311,f
Svea,310,f
Anne-Rose,310,f
Valentine,309,f
Evangelia,309,f
Helmtrud,307,f
Annita,306,f
Walentina,305,f
Sarina,305,f
Radmila,305,f
Laila,304,f
Canan,302,f
Anna-Marie,302,f
Etta,301,f
Sibel,299,f
Loretta,299,f
Marleen,298,f
Kristiane,297,f
Rahel,296,f
Sybilla,295,f
Reni,295,f
Gülten,295,f
Alicia,295,f
