name,gender,count
Brigitte,f,66
Britney,f,244
Brittany,f,708
Brody,m,524
Brooke,f,1164
Brooklyn,f,204
Brooks,m,119
Bruce,m,308
Brucha,f,206
Bruchy,f,465
Bruno,m,21
Bryan,m,3252
Bryanna,f,366
Bryant,m,355
Bryce,m,1289
Brynn,f,154
Bryson,m,589
Burech,m,11
Byron,m,288
Caden,m,220
Caiden,m,317
Cairo,m,179
Caitlin,f,258
Caleb,m,4153
Cali,f,172
Callie,f,14
Calvin,m,650
Camden,m,91
Cameron,f,79
Cameron,m,2719
Camila,f,4983
Camilla,f,388
Camille,f,410
Camilo,m,148
Camren,m,142
Carina,f,199
Carla,f,176
Carlos,m,2628
Carly,f,60
Carmelo,m,472
Carmen,f,340
Carmine,m,78
Carolina,f,329
Caroline,f,1989
Carson,m,529
Carter,m,3168
Casey,f,72
Cassandra,f,130
Cassidy,f,141
Cataleya,f,162
Catalina,f,428
Catherine,f,1902
Cayden,m,658
Cecelia,f,66
Cecilia,f,1047
Celeste,f,179
Celia,f,210
Celine,f,619
Cesar,m,798
Chace,m,11
Chad,m,149
Chaim,m,4304
Chana,f,3898
Chance,m,648
Chanel,f,97
Chanie,f,60
Chany,f,1084
Charles,m,5075
Charlie,f,280
Charlie,m,859
Charlotte,f,5375
Chase,m,3223
Chava,f,1130
Chavy,f,388
Chaya,f,5260
Chelsea,f,2221
Cheskel,m,391
Chesky,m,225
Cheyenne,f,120
Chiara,f,82
Chloe,f,9574
Chris,m,1064
Christian,m,7859
Christina,f,1353
Christine,f,235
Christopher,m,9630
Christy,f,72
Cindy,f,631
Claire,f,2151
Clara,f,1112
Clark,m,25
Claudia,f,96
Clementine,f,137
Cleo,f,10
Cody,m,216
Cole,m,811
Colette,f,451
Colin,m,1200
Colton,m,114
Connie,f,150
Connor,m,2069
Conor,m,346
Cooper,m,922
Cora,f,521
Corey,m,153
Cormac,m,66
Cristian,m,1167
Cristina,f,60
Cristofer,m,66
Cristopher,m,256
Crosby,m,11
Crystal,f,831
Cynthia,f,696
Cyrus,m,146
Dahlia,f,411
Daisy,f,922
Dakota,f,305
Daleyza,f,110
Dalia,f,172
Dallas,m,44
Damani,m,60
Damari,m,10
Damaris,f,66
Damian,m,1499
Damien,m,391
Damon,m,184
Dana,f,204
Daniel,m,15702
Daniela,f,1750
Daniella,f,1579
Danielle,f,874
Danna,f,914
Danny,m,865
Dante,m,607
Daphne,f,513
Dara,f,12
Daria,f,22
Dariel,m,817
Darius,m,251
Darren,m,828
Darwin,m,447
Dashiell,m,132
David,m,15227
Dayana,f,552
Dean,m,908
Deborah,f,70
Declan,m,1014
Delilah,f,1063
Demi,f,10
Denis,m,60
Denise,f,156
Denisse,f,11
Dennis,m,278
Denzel,m,168
Dereck,m,142
Derek,m,2435
Derick,m,168
Derrick,m,208
Desmond,m,164
Destiny,f,1625
Devin,m,1662
Devoiry,f,24
Devon,m,60
Devora,f,563
Devorah,f,1298
Devory,f,10
Diana,f,1652
Diego,m,1648
Dilan,m,90
Dillon,m,10
Dina,f,1103
Dion,m,10
Dior,f,15
Diya,f,149
Diyora,f,11
Dominic,m,1982
Dominick,m,927
Donovan,m,257
Doris,f,138
Dov,m,1071
Dovid,m,921
Dream,f,28
Drew,m,179
Dua,f,21
Dulce,f,276
Duvid,m,207
Dwayne,m,84
Dylan,f,711
Dylan,m,12604
Ean,m,99
Eason,m,807
Eddie,m,144
Eddy,m,122
Eden,f,723
Eden,m,240
Edgar,m,658
Edison,m,488
Edith,f,134
Eduardo,m,831
Edward,m,2505
Edwin,m,1598
Efraim,m,548
Egypt,f,305
Eileen,f,765
Eitan,m,467
Elaine,f,547
Elan,m,154
Eleanor,f,1783
Elena,f,1868
Eleni,f,60
Eli,m,4962
Eliam,m,119
Elian,m,633
Eliana,f,2688
Elianna,f,79
Elianny,f,176
Elias,m,3425
Eliel,m,33
Eliezer,m,1119
Elijah,m,7710
