name,gender,count
Quinn,f,612
Quinn,m,354
Rachel,f,6531
Rafael,m,1644
Rahaf,f,25
Raina,f,199
Raizel,f,494
Raizy,f,1831
Ralph,m,21
Randy,m,890
Raphael,m,669
Raquel,f,254
Raul,m,222
Raya,f,11
Rayan,m,1024
Raymond,m,1672
Rayna,f,10
Rayyan,m,291
Reagan,f,258
Rebecca,f,2109
Reed,m,192
Reem,f,106
Reese,f,532
Rehan,m,235
Reid,m,405
Reign,f,46
Reina,f,11
Reizy,f,80
Remi,f,26
Remy,f,30
Remy,m,38
Rena,f,66
Renata,f,10
Renee,f,120
Reuben,m,66
Reuven,m,135
Rhea,f,11
Rhys,m,164
Ricardo,m,681
Richard,m,2631
Ricky,m,317
Rifka,f,86
Rifky,f,341
Rihanna,f,288
Riley,f,2510
Riley,m,974
Rina,f,24
Riva,f,20
River,m,65
Rivka,f,3233
Rivkah,f,55
Rivky,f,1566
Riya,f,96
Robert,m,3625
Roberto,m,446
Rocco,m,474
Rochel,f,809
Rodney,m,60
Rodrigo,m,347
Roger,m,78
Rohaan,m,10
Rohan,m,449
Roiza,f,60
Roizy,f,248
Roman,m,986
Romeo,m,331
Romy,f,84
Ronald,m,92
Ronaldo,m,10
Ronan,m,347
Rory,m,267
Rosa,f,302
Rose,f,1677
Roselyn,f,198
Rosemary,f,11
Rosie,f,71
Rowan,f,86
Rowan,m,417
Roy,m,364
Royal,f,20
Royal,m,48
Royalty,f,37
Royce,m,80
Ruben,m,263
Ruby,f,1720
Ruchel,f,85
Ruchy,f,473
Russell,m,11
Ruth,f,456
Ryan,f,219
Ryan,m,12950
Ryder,m,469
Rylee,f,79
Sabiha,f,12
Sabina,f,105
Sabrina,f,1723
Sade,f,96
Sadie,f,1294
Safa,f,90
Safwan,m,43
Sage,f,180
Sage,m,10
Sahil,m,10
Saif,m,12
Saifan,m,35
Saige,f,76
Saint,m,14
Salma,f,364
Salome,f,126
Salvatore,m,768
Sam,m,957
Sama,f,12
Samaira,f,13
Samantha,f,5666
Samara,f,583
Sami,m,72
Samir,m,486
Samira,f,149
Samiya,f,60
Samiyah,f,251
Sammy,m,11
Samuel,m,9073
Sanaa,f,478
Sanai,f,460
Sandra,f,60
Saniya,f,78
Saniyah,f,315
Santiago,m,1497
Santino,m,279
Saoirse,f,10
Sapphire,f,11
Sara,f,4631
Sarah,f,8787
Sarahi,f,16
Sarai,f,1109
Sari,f,10
Sariah,f,426
Sarina,f,66
Sariyah,f,30
Sasha,f,763
Saul,m,237
Savanna,f,115
Savannah,f,3059
Savion,m,60
Sawyer,m,295
Scarlet,f,469
Scarlett,f,3706
Scott,m,11
Sean,m,2524
Sebastian,m,9430
Sekou,m,90
Selena,f,806
Selim,m,64
Selina,f,698
Selma,f,60
Serafina,f,10
Serena,f,837
Serenity,f,2570
Sergio,m,385
Seth,m,168
Sevyn,f,22
Shaina,f,472
Shaindel,f,313
Shaindy,f,1577
Shalom,m,364
Shane,m,800
Shania,f,150
Shaniya,f,66
Sharon,f,415
Shaul,m,89
Shawn,m,649
Shaya,m,817
Shayaan,m,78
Shayan,m,135
Shayla,f,126
Shayna,f,72
Shea,f,13
Shea,m,402
Sheldon,m,13
Sherlyn,f,636
Sherry,f,78
Shevy,f,108
Shia,m,890
Shifra,f,521
Shiloh,f,174
Shiloh,m,16
Shimon,m,2698
Shira,f,547
Shirley,f,680
Shloime,m,385
Shloimy,m,421
Shloma,m,133
Shlome,m,550
Shlomo,m,1757
Shmiel,m,609
Shmuel,m,1483
Shneur,m,202
Sholom,m,486
Shoshana,f,513
Shraga,m,142
Shreya,f,60
Shukrona,f,15
Shulem,m,1082
Sidney,m,60
Siena,f,469
Sienna,f,1640
Silas,m,316
Sima,f,446
Simcha,m,886
Simi,f,73
Simon,m,1555
Simone,f,556
Sincere,m,503
Sky,f,10
Skye,f,305
Skyla,f,993
Skylah,f,393
Skylar,f,2475
Skyler,f,164
Skyler,m,202
Sloane,f,672
Sofia,f,8939
Solomon,m,1256
Sonia,f,70
Sonny,m,17
Sophia,f,15193
Sophie,f,3496
Soraya,f,60
Spencer,m,567
Stacey,f,66
Stacy,f,227
Stanley,m,509
Stefan,m,10
Stella,f,2898
Stephanie,f,1773
Stephany,f,66
Stephen,m,719
Steve,m,210
Steven,m,3993
Subhan,m,60
Sulaiman,m,10
Summer,f,1223
Sunny,f,60
Suri,f,289
Sury,f,809
Sydney,f,1623
Syed,m,651
Syeda,f,353
Sylvia,f,540
Sylvie,f,189
Symphony,f,78
Tabitha,f,60
Tahmid,m,10
Talia,f,1320
Taliyah,f,11
Tallulah,f,11
Tamar,f,306
Tamara,f,10
Tamia,f,317
Tanisha,f,72
Taraji,f,72
Tasnim,f,60
Tatiana,f,277
Taylor,f,2531
Taylor,m,126
Teagan,f,36
Tehila,f,41
Tenzin,f,846
Tenzin,m,858
Terrell,m,120
Terrence,m,150
Terry,m,76
Tess,f,66
Tessa,f,381
Thea,f,117
Theo,m,391
Theodora,f,26
Theodore,m,3347
Thiago,m,838
Thierno,m,14
Thomas,m,4660
Tiana,f,440
Tianna,f,168
Tiffany,f,1524
Timothy,m,1688
Timur,m,26
Tina,f,272
Toba,f,25
Tobias,m,10
Toby,f,1302
Tomas,m,250
Tony,m,262
Tori,f,362
Tova,f,113
Trany,f,158
Travis,m,466
Trinity,f,746
Tristan,m,3337
Troy,m,156
Tyler,m,5941
Tzipora,f,384
Tziporah,f,185
Tzippy,f,82
Tzirel,f,12
Tzivia,f,150
Tzvi,m,1293
Umar,m,21
Uriel,m,452
Usher,m,723
Valentin,m,11
Valentina,f,4137
Valentino,m,109
Valeria,f,1120
Valerie,f,1859
Valery,f,229
Vanessa,f,1761
Veer,m,25
Vera,f,429
Veronica,f,746
Veronika,f,66
Vicky,f,609
Victor,m,2657
Victoria,f,7612
Vienna,f,26
Vihaan,m,174
Viktor,m,10
Vincent,m,3536
Vincenzo,m,182
Violet,f,2165
Violeta,f,82
Virginia,f,72
Vivian,f,2274
Viviana,f,136
Vivienne,f,889
Walker,m,10
Walter,m,186
Wendy,f,441
Wesley,m,985
Weston,m,86
Wilder,m,11
Willa,f,559
William,m,9384
Willow,f,53
Wilson,m,640
Winnie,f,571
Winston,m,373
Winter,f,110
Wolf,m,170
Wyatt,m,922
Wynter,f,269
Xander,m,149
Xavier,m,4456
Ximena,f,602
Xin,f,210
Yaakov,m,1466
Yachet,f,90
Yadiel,m,604
Yael,f,522
Yael,m,102
Yahir,m,437
Yahya,m,98
Yair,m,60
Yakov,m,1677
Yamilet,f,66
Yamileth,f,166
Yandel,m,252
Yaniel,m,60
Yanky,m,83
Yara,f,86
Yareli,f,10
Yaretzi,f,871
Yariel,m,310
Yaritza,f,22
Yaseen,m,173
Yasmin,f,154
Yasmina,f,101
Yasmine,f,142
Yassin,m,95
Yechezkel,m,144
Yechiel,m,878
Yehoshua,m,657
Yehuda,m,2334
Yehudah,m,60
Yehudis,f,611
Yerik,m,78
Yesenia,f,66
Yeshaya,m,76
Yida,m,91
Yidel,m,149
Yides,f,739
Yisrael,m,299
Yisroel,m,2279
Yitta,f,72
Yitty,f,1274
Yitzchak,m,362
Yitzchok,m,1915
Yocheved,f,780
Yoel,m,505
Yona,m,60
Yonah,m,73
Yonatan,m,36
Yosef,m,3083
Yossi,m,337
Younis,m,11
Yousef,m,439
Youssef,m,511
Yu,f,78
Yuna,f,11
Yusuf,m,634
Zabdiel,m,11
Zachariah,m,60
Zachary,m,4529
Zahara,f,71
Zahir,m,84
Zahra,f,389
Zaid,m,30
Zaiden,m,99
Zain,m,441
Zainab,f,686
Zaire,m,634
Zakaria,m,10
Zalmen,m,284
Zamir,m,60
Zander,m,10
Zane,m,115
Zaniyah,f,190
Zara,f,1113
Zaria,f,89
Zariah,f,236
Zayan,m,369
Zayden,m,441
Zayn,m,155
Zelda,f,183
Zendaya,f,91
Zev,m,1416
Zhuri,f,10
Zion,m,1634
Zissy,f,740
Zoe,f,6525
Zoey,f,2973
Zora,f,11
Zoya,f,134
Zuri,f,536
Zyaire,m,96
