given_name,gender_code,ethnicity_code,count
Anabelle,f,h,60
Anabia,f,a,68
Anahi,f,h,12
Anais,f,h,73
Analia,f,h,338
Ananya,f,a,60
Anas,m,w,16
Anastasia,f,h,63
Anastasia,f,w,709
Anaya,f,a,498
Anaya,f,b,246
Anaya,f,h,230
Anayah,f,a,60
Anderson,m,a,96
Anderson,m,h,810
Anderson,m,w,80
Andre,m,b,423
Andre,m,h,258
Andrea,f,h,1328
Andres,m,h,990
Andrew,m,a,1480
Andrew,m,b,915
Andrew,m,h,2754
Andrew,m,w,3111
Andy,m,a,1221
Andy,m,h,1016
Angel,f,a,440
Angel,f,b,284
Angel,m,b,141
Angel,m,h,5955
Angela,f,a,1514
Angela,f,h,588
Angela,f,w,20
Angelica,f,h,725
Angelica,f,w,132
Angelina,f,a,720
Angelina,f,b,275
Angelina,f,h,1465
Angelina,f,w,1223
Angeline,f,h,72
Angelique,f,h,568
Angelo,m,h,410
Angelo,m,w,481
Angely,f,h,66
Angie,f,a,71
Angie,f,h,523
Angus,m,a,96
Anika,f,a,188
Anisa,f,a,10
Anisa,f,w,194
Anisha,f,a,84
Aniya,f,b,350
Aniyah,f,b,743
Aniyah,f,h,168
Anjali,f,a,10
Anna,f,a,1014
Anna,f,h,275
Anna,f,w,2594
Annabel,f,w,253
Annabella,f,h,198
Annabelle,f,a,294
Annabelle,f,b,80
Annabelle,f,h,287
Annabelle,f,w,689
Annalise,f,h,124
Anne,f,a,96
Anne,f,w,208
Annie,f,a,681
Annie,f,h,11
Annika,f,a,72
Ansel,m,w,11
Anson,m,a,596
Anthony,m,a,1057
Anthony,m,b,1442
Anthony,m,h,5019
Anthony,m,w,3373
Anton,m,w,142
Antonella,f,h,115
Antonia,f,w,263
Antonio,m,b,276
Antonio,m,h,803
Antonio,m,w,722
Anya,f,a,264
Anya,f,w,11
April,f,h,389
Arabella,f,h,108
Arabella,f,w,12
Archer,m,w,257
Arden,f,w,13
Arely,f,h,210
Arham,m,a,225
Ari,m,w,1117
Aria,f,a,697
Aria,f,b,555
Aria,f,h,549
Aria,f,w,819
Ariadna,f,h,22
Ariadne,f,h,12
Ariah,f,b,118
Ariah,f,h,11
Arian,m,h,66
Ariana,f,a,677
Ariana,f,b,564
Ariana,f,h,2094
Ariana,f,w,951
Arianna,f,a,397
Arianna,f,b,1079
Arianna,f,h,2071
Arianna,f,w,830
Arianny,f,h,171
Ariel,f,a,345
Ariel,f,b,1058
Ariel,f,h,475
Ariel,f,w,241
Ariel,m,h,499
Ariel,m,w,635
Ariela,f,w,60
Ariella,f,a,13
Ariella,f,b,11
Ariella,f,h,320
Ariella,f,w,860
Arielle,f,b,604
Arielle,f,h,224
Arielle,f,w,145
Arisha,f,a,173
Ariyah,f,b,35
Arjun,m,a,608
Arleth,f,h,11
Arlette,f,h,48
Arlo,m,w,188
Armaan,m,a,194
Armando,m,h,150
Armani,m,b,60
Armani,m,h,461
Aron,m,w,1901
Arthur,m,a,39
Arthur,m,w,892
Arturo,m,h,80
Arvin,m,a,66
Arya,f,a,652
Arya,f,b,51
Arya,f,h,177
Arya,f,w,41
Aryan,m,a,550
Arye,m,w,82
Aryeh,m,w,736
Asher,m,a,277
Asher,m,b,164
Asher,m,h,87
Asher,m,w,1840
Ashley,f,a,1189
Ashley,f,b,430
Ashley,f,h,4079
Ashley,f,w,478
Ashly,f,h,89
Ashton,m,a,36
Ashton,m,b,664
Ashton,m,h,387
Ashton,m,w,132
Asia,f,b,72
Astrid,f,w,10
Atara,f,w,149
Athena,f,a,232
Athena,f,b,10
Athena,f,h,528
Athena,f,w,236
Atticus,m,w,60
Aubree,f,b,172
Aubree,f,h,224
Aubrey,f,b,626
Aubrey,f,h,915
Aubrey,f,w,275
Audrey,f,a,829
Audrey,f,b,11
Audrey,f,h,282
Audrey,f,w,974
August,m,b,40
August,m,h,26
August,m,w,760
Augustus,m,w,80
Aurelia,f,w,12
Aurora,f,a,37
Aurora,f,b,11
Aurora,f,h,407
Aurora,f,w,267
Austin,m,a,1745
Austin,m,b,638
Austin,m,h,892
Austin,m,w,765
Autumn,f,b,827
Autumn,f,h,233
Autumn,f,w,95
Ava,f,a,1112
Ava,f,b,1934
Ava,f,h,2078
Ava,f,w,4262
Avery,f,a,461
Avery,f,b,320
Avery,f,h,540
Avery,f,w,1715
Avery,m,a,66
Avery,m,b,600
Avery,m,h,457
Avery,m,w,223
Avi,m,w,268
Aviel,m,w,10
Avigail,f,w,319
Avital,f,w,60
Aviva,f,w,409
Avraham,m,w,1373
Avril,f,h,66
Avrohom,m,w,805
Avrum,m,w,420
Awa,f,b,60
Axel,m,h,1690
Axel,m,w,209
Aya,f,w,191
Ayaan,m,a,1247
Ayala,f,w,106
Ayan,m,a,402
Ayanna,f,b,78
Ayat,f,a,58
Ayden,m,a,555
Ayden,m,b,1796
Ayden,m,h,2359
Ayden,m,w,285
Aydin,m,a,34
Aydin,m,w,66
Ayelet,f,w,12
Ayesha,f,a,617
Ayla,f,h,35
Ayla,f,w,387
Ayleen,f,h,274
Aylin,f,h,764
Ayra,f,a,10
Azaan,m,a,73
Azaria,f,b,60
Azariah,f,b,20
Aziza,f,w,66
Baila,f,w,1353
Bailey,f,b,10
Bailey,f,w,12
Barbara,f,w,146
Baruch,m,w,472
Basya,f,w,84
Batsheva,f,w,920
Batya,f,w,102
Beatrice,f,w,887
Beatrix,f,w,109
Beau,m,w,21
Beckett,m,w,325
Belen,f,h,10
Bella,f,a,710
Bella,f,b,387
Bella,f,h,1563
Bella,f,w,810
Ben,m,w,581
Benjamin,m,a,1135
Benjamin,m,b,659
Benjamin,m,h,1747
Benjamin,m,w,6273
Bennett,m,w,425
Benson,m,a,461
Bentzion,m,w,82
Benzion,m,w,465
Berish,m,w,143
Berl,m,w,125
Bethany,f,h,10
Bianca,f,h,612
Bianca,f,w,254
Billie,f,w,11
Bina,f,w,12
Bintou,f,b,109
Binyamin,m,w,114
Binyomin,m,w,324
Blair,f,w,10
Blake,f,w,227
Blake,m,b,515
Blake,m,h,174
Blake,m,w,586
Blessing,f,b,91
Blima,f,w,757
Blimy,f,w,753
Bodhi,m,a,10
Bodhi,m,w,50
Bonnie,f,a,143
Boruch,m,w,352
Boubacar,m,b,172
Bowen,m,a,60
Bracha,f,w,707
Bradley,m,a,10
Bradley,m,b,228
Bradley,m,h,594
Bradley,m,w,166
Brady,m,w,394
Brandon,m,a,1032
Brandon,m,b,1147
Brandon,m,h,3773
Brandon,m,w,1054
Brayan,m,h,577
Brayden,m,a,265
Brayden,m,b,10
Brayden,m,h,443
Brayden,m,w,455
Breindy,f,w,311
Brenda,f,h,325
Brendan,m,a,70
Brendan,m,w,517
Bria,f,b,66
Brian,m,a,1128
Brian,m,b,384
Brian,m,h,1008
Brian,m,w,610
Briana,f,h,703
Brianna,f,a,148
Brianna,f,b,782
Brianna,f,h,2758
Brianna,f,w,569
Brianny,f,h,70
Bridget,f,w,239
Briella,f,h,14
Briella,f,w,10
Brielle,f,b,1131
Brielle,f,h,339
Brielle,f,w,228
Brigitte,f,h,66
Britney,f,h,244
Brittany,f,h,708
Brody,m,w,524
Brooke,f,b,334
Brooke,f,h,60
Brooke,f,w,770
Brooklyn,f,b,94
Brooklyn,f,w,110
Brooks,m,w,119
Bruce,m,a,60
Bruce,m,h,248
Brucha,f,w,206
Bruchy,f,w,465
Bruno,m,h,21
Bryan,m,a,510
Bryan,m,b,318
Bryan,m,h,2329
Bryan,m,w,95
Bryanna,f,h,366
Bryant,m,h,355
Bryce,m,b,876
Bryce,m,h,284
Bryce,m,w,129
Brynn,f,w,154
Bryson,m,b,497
Bryson,m,h,92
Burech,m,w,11
Byron,m,h,288
Caden,m,a,18
Caden,m,b,142
Caden,m,w,60
Caiden,m,b,296
Caiden,m,h,21
Cairo,m,b,165
Cairo,m,h,14
Caitlin,f,w,258
Caleb,m,a,611
Caleb,m,b,1369
Caleb,m,h,1264
Caleb,m,w,909
Cali,f,b,161
Cali,f,h,11
Callie,f,w,14
Calvin,m,a,292
Calvin,m,b,60
Calvin,m,w,298
Camden,m,b,81
Camden,m,w,10
Cameron,f,w,79
Cameron,m,a,111
Cameron,m,b,1358
Cameron,m,h,554
Cameron,m,w,696
Camila,f,h,4878
Camila,f,w,105
Camilla,f,h,162
Camilla,f,w,226
Camille,f,b,210
Camille,f,h,11
Camille,f,w,189
Camilo,m,h,148
Camren,m,b,142
Carina,f,a,199
Carla,f,h,176
Carlos,m,h,2628
Carly,f,w,60
Carmelo,m,b,222
Carmelo,m,h,250
Carmen,f,h,340
Carmine,m,w,78
Carolina,f,h,204
Carolina,f,w,125
Caroline,f,a,293
Caroline,f,h,352
Caroline,f,w,1344
Carson,m,a,519
Carson,m,b,10
Carter,m,a,214
Carter,m,b,1878
Carter,m,h,405
Carter,m,w,671
Casey,f,w,72
Cassandra,f,h,70
Cassandra,f,w,60
Cassidy,f,b,11
Cassidy,f,w,130
Cataleya,f,h,162
Catalina,f,h,428
Catherine,f,a,634
Catherine,f,h,229
Catherine,f,w,1039
Cayden,m,a,10
Cayden,m,b,560
Cayden,m,h,88
Cecelia,f,w,66
Cecilia,f,a,289
Cecilia,f,h,83
Cecilia,f,w,675
Celeste,f,h,159
Celeste,f,w,20
Celia,f,w,210
Celine,f,a,270
Celine,f,b,12
Celine,f,h,124
Celine,f,w,213
Cesar,m,h,798
Chace,m,b,11
Chad,m,b,149
Chaim,m,w,4304
Chana,f,w,3898
Chance,m,b,648
Chanel,f,b,76
Chanel,f,h,21
Chanie,f,w,60
Chany,f,w,1084
Charles,m,a,581
Charles,m,b,385
Charles,m,h,383
Charles,m,w,3726
Charlie,f,w,280
Charlie,m,h,198
Charlie,m,w,661
Charlotte,f,a,790
Charlotte,f,b,121
Charlotte,f,h,750
Charlotte,f,w,3714
Chase,m,a,165
Chase,m,b,1598
Chase,m,h,589
Chase,m,w,871
Chava,f,w,1130
Chavy,f,w,388
Chaya,f,w,5260
Chelsea,f,a,303
Chelsea,f,b,808
Chelsea,f,h,1026
Chelsea,f,w,84
Cheskel,m,w,391
Chesky,m,w,225
Cheyenne,f,b,120
Chiara,f,w,82
Chloe,f,a,3417
Chloe,f,b,1819
Chloe,f,h,1747
Chloe,f,w,2591
Chris,m,a,187
Chris,m,b,132
Chris,m,h,661
Chris,m,w,84
Christian,m,a,537
Christian,m,b,2368
Christian,m,h,3288
Christian,m,w,1666
Christina,f,a,455
Christina,f,b,387
Christina,f,h,188
Christina,f,w,323
Christine,f,a,235
Christopher,m,a,604
Christopher,m,b,1725
Christopher,m,h,4990
Christopher,m,w,2311
Christy,f,a,72
Cindy,f,a,487
Cindy,f,h,144
Claire,f,a,991
Claire,f,h,11
Claire,f,w,1149
Clara,f,a,37
Clara,f,h,66
Clara,f,w,1009
Clark,m,w,25
Claudia,f,w,96
Clementine,f,w,137
Cleo,f,w,10
Cody,m,a,146
Cody,m,b,60
Cody,m,w,10
Cole,m,w,811
Colette,f,w,451
Colin,m,a,179
Colin,m,w,1021
Colton,m,w,114
Connie,f,a,150
Connor,m,a,538
Connor,m,b,181
Connor,m,h,10
Connor,m,w,1340
Conor,m,w,346
Cooper,m,w,922
Cora,f,w,521
Corey,m,b,153
Cormac,m,w,66
Cristian,m,h,1167
Cristina,f,h,60
Cristofer,m,h,66
Cristopher,m,h,256
Crosby,m,w,11
Crystal,f,a,324
Crystal,f,h,507
Cynthia,f,a,504
Cynthia,f,h,192
Cyrus,m,a,102
Cyrus,m,w,44
Dahlia,f,h,25
Dahlia,f,w,386
